recipe_title,servings,meal,calories,carbs,protein,fat,ingredients,instructions
Spicy Frittata,1,breakfast,427,27,39,19,3 eggs; 100 g 1% cottage cheese; 20 g gochujang; 50 g medium onion or red bell pepper; 150 g broccoli; 2 g garlic powder; 2 g oil; to taste black pepper,"Crack the eggs into a blender. Add Gochujang, cottage cheese, garlic powder, and black pepper. | Blend for 20 seconds until smooth. | Preheat the oven to 200°C or 400°F. | Dice the onion and pepper. Chop the broccoli into small pieces. | Add 1000 g of water to a 24cm pan on high heat. | Add broccoli with a pinch of salt. Cook for 2-3 minutes until soft, then drain and set aside. | Wipe the pan with a paper towel and return to stove. | Add oil to the pan on medium heat. | Add onion and pepper, fry for 3-5 minutes until caramelized. | Add broccoli back to the pan and fry for another 2 minutes. | Transfer all vegetables to a baking dish (19x14cm or 7x5 inch). | Pour the egg mixture over the vegetables and stir. | Bake in the preheated oven for 20 minutes. | Serve immediately or refrigerate for next-day eating."
Tempeh Curry (Vegan),4,lunch,250,30,12,10,"1 block Tempeh; 1 can Coconut milk; 2 tablespoons Curry powder; 2 cups Vegetables (e.g., bell peppers, carrots); 2 tablespoons Oil; to taste Salt; to taste Pepper","1. Cut the tempeh into bite-sized pieces. | 2. Heat oil in a pan over medium heat. | 3. Add tempeh and cook until golden brown. | 4. Add vegetables and cook for 5 minutes. | 5. Stir in curry powder and cook for another minute. | 6. Pour in coconut milk, season with salt and pepper. | 7. Simmer for 15-20 minutes until flavors meld and vegetables are tender. | 8. Serve hot with rice or bread."
Homemade Pumpkin Puree,1,dinner,315,60,9,3,500 g hokkaido pumpkin,Preheat the oven to 200 C or 400 F. | Wash the pumpkin. | Remove the stems from both sides. Cut the Hokkaido into halves. | Remove the seeds with a spoon. | Lay them on a baking sheet with parchment paper. | Bake the pumpkin for 30-45 min until cooked fully through. | Cut the cooked pumpkin into cubes and place them into a food processor or big blender. Mix it until smooth for 2-3 min. | Transfer it into a big bowl. Done!
3 Ingredient Protein Cheesecake,1,dinner,287,35,24,5,200 g flavored Greek yogurt or Skyr; 1 egg; 20 g pudding powder,"Preheat the oven to 180°C or 350°F. | Place a bowl on your scale and taste the yogurt before adding sweetener. | Add 25g sweetener into the bowl if needed, then add the yogurt, egg, and pudding powder and mix until smooth. | Add parchment paper to a 15cm (6 inch) diameter baking dish. | Transfer the batter to the baking dish and bake for 30-35 minutes. | Remove and cool on a plate for 15 minutes, then refrigerate for 1 hour or until set. | Top with one serving of powdered peanuts before serving."
Carrot Cake Burrito,1,breakfast,322,31,30,6,1 (20cm or 8inch) wheat tortilla; 15 g casein vanilla protein powder; 50 g skyr or 0.2% fat greek yogurt; 50 g 0.2% fat cream cheese; 5 g honey; 5 g chia seeds; 5 g vanilla extract; 50 g shredded carrots,"Place a bowl on your scale. | Add casein, skyr, cream cheese, honey, chia seeds, vanilla extract. Grate carrots with a box grater and add them to the bowl. Mix everything until combined. | Heat up the tortilla in a pan for 60 seconds each side. | Put the filling on top of the tortilla and roll it into a burrito shape. Done!"
Homemade Almond Milk,1,breakfast,290,11,11,25,50 g almonds; 1000 g water; 2 g Guar Gum,"Add the almonds to a bowl and fill it up with water until the almonds are covered. Refrigerate them for at least 12 hours. | After that, add softened almonds into a big blender with 1000 g of water. | Mix for 1 minute. | Now place cheesecloth over a bowl and strain the almond milk through the cloth. | Squeeze out the entire liquid until you end up with the leftover mixed almonds. | Add the liquid back to the mixer with Guar Gum and mix again for 30 seconds. Done!"
Burrito Bowl,1,lunch,627,50,49,27,"200 g skinless, boneless chicken thighs; 2 g onion powder; 2 g garlic powder; 2 g paprika; 50 g raw rice; 125 g water; 6 g curry powder; 1.5 g cayenne pepper; 70 g avocado or 70 g; 30 g 0.2% fat cream cheese; 15 g Jalapeno hot sauce; 2 g oil; to taste Salt; to taste black pepper","Add the chicken thighs to a baking sheet. | Add oil on top of the chicken. | Mix salt, onion powder, garlic powder, paprika and black pepper in a small container. Sprinkle seasoning on top of all the chicken thighs and rub them with your hands until well coated. | Bake the chicken in the oven for 20 minutes at 200°C or 400°F. | Add the rice with curry powder, cayenne pepper and a pinch of salt in a pot (18cm or 7inch diameter). Pour in water and close the lid. | Bring to a boil on high heat. | Turn down the heat and let it simmer for 12-15 minutes. | Add avocado and cream cheese to a bowl. Add Jalapeno hot sauce. Add a pinch of salt and black pepper, and mash everything together with a fork until smooth. | Once everything is ready, serve the chicken with rice on a plate and top it with the avocado dip."
PB Sweet Crepe,1,breakfast,379,50,23,7,50 g all purpose flour; 1 egg; 100 g skimmed milk; 25 g sweetener; 18 g powdered peanuts; a pinch Salt,"Place a bowl on a scale. Add in the flour, egg, milk, sweetener and a pinch of salt and whisk everything until smooth. | Combine the powdered peanuts with a splash of water and mix with a spoon. It should become a thick but still liquidy consistency. If it is too thick, add another splash of water and keep mixing. | Heat up a pan (24cm or 9.5 inch) to medium heat. Spray oil into the pan. | The batter will make 3-4 crepes. Take one serving batter with a ladle and pour it into the pan. | Start swirling around until the batter forms a round shape and covers the entire pan. It should look like a tortilla. | Let it cook for 30-45 seconds. Try to loosen the bottom with a spatula and flip the crepe. It should be firm now, so it won’t break. | Cook under occasional flipping for 2-3 minutes in total. | Transfer the crepe to a plate and repeat the process until the entire batter is used up. | Roll up the crepe and drizzle the peanut butter on top of them. Done!"
Cheesy Chicken Burrito,1,lunch,442,38,34,17,2 wheat tortillas; 120 g chicken breast; 40 g evaporated milk; 25 g cheddar; 1 g cornstarch; 10 g hot sauce; 1 g garlic powder; 1 g onion powder; 0.5 g cayenne pepper; 0.5 g paprika; 2 g oil; to taste salt; to taste black pepper,"Slice chicken into thin strips, then place them in a bowl. Add oil, garlic powder, onion powder, cayenne pepper, paprika, and a pinch of salt and black pepper. Mix with tongs until everything is evenly coated. | In another bowl, combine cheddar cheese, cornstarch, evaporated milk, and hot sauce. Mix well. | Heat oil in a 24 cm (9.5 inch) pan over medium-high heat. Add the chicken and fry for 2 minutes, flipping it after 1 minute, until the chicken is cooked through and has a nice color. Then remove the pan from the heat. | Pour the cheese sauce into the pan with the chicken and mix until it turns into a creamy and gooey texture. | Transfer the mixture to a tortilla and roll it into a burrito shape. Place the burrito back in the pan and toast on all 4 sides for 30 seconds each. Done!"
Beef & Broccoli,1,dinner,385,23,50,12,200 g lean cut beef (sirloin); 200 g broccoli; 2 cloves garlic; 1 piece (thumb size) fresh ginger; 2 g cornstarch; 2 g oil; 20 g soy sauce; 10 g oyster sauce; 10 g rice vinegar; 5 g Hoisin; to taste Chili flakes,"Start with the washing and marinating first if you choose to do it. Otherwise, just cut the meat into strips. | Chop up the broccoli florets and cut them into equal bitesize pieces. | Peel and grate garlic and ginger. | Add all sauce ingredients to a glass and mix until combined. | Prepare a small glass with 50g water, add 2g of cornstarch, and mix, so there are no clumps. | Add broccoli to a pan and cover with cold water until submerged. Cook on medium-high for 2-3 minutes to soften. | Rinse the broccoli and wipe the pan. Add in the beef. If not marinated, add a bit of oil to the pan. | Fry the beef for 1 minute on each side until it gets color. | Remove the beef, add oil to the pan, and fry the broccoli for 1-2 minutes until crunchy exterior and soft interior. | Add back the beef and the grated garlic and ginger. Fry for 20 seconds. | Add soy sauce and half of the cornstarch slurry. Let it simmer until thick, about 1 minute. Add more slurry if needed."
Big Mac without a bun and tasty potatoes,1,lunch,683,63,57,26,180 g ground beef 95/5; 250 g potatoes; 50 g medium onion; 50 g lettuce; 50 g pickles; 50 g tomatoes; 5 g oil; 1 g dry rosemary; 1 serving 1000 island sauce; 1 serving 3 ingredient cheese sauce,"Peel and cut the potatoes into thick slices, then into fries and then again into bite-size cubes (2x2cm or 1x1 inch). | Microwave the potatoes in a bowl for 5 minutes at 600W. | Prepare one serving each of 1000 Island sauce and cheese sauce. | Finely chop onions, pickles, lettuce, and tomatoes. | In a pan, heat oil over medium-high heat. Add the microwaved potatoes and a pinch of salt. Fry for about 5 minutes or until golden brown. Remove from pan. | Add a bit more oil to the pan, sauté the onions for 2-3 minutes until translucent and slightly golden. | Push onions to the side, add more oil, and cook the beef, breaking it up and seasoning with salt and black pepper. | After 1 minute, combine beef with onions and fry for another minute. | Turn off heat, pour in cheese sauce, and mix for about 30 seconds until creamy. | Arrange fried potatoes on a plate, top with chopped vegetables, add 1000 Island sauce, and finally, the cheesy beef mixture."
Cheese Grits / Polenta,1,dinner,601,64,47,19,"50 g cornmeal; 180 g skinless, boneless chicken thighs; 50 g medium onion; 100 g carrot; 1 Laughing Cow wedge; 1 American cheese slice; 4 g vegetable broth powder; 250 g water; 1 g cayenne pepper; 2 g smoked paprika; 2 g oil; to taste salt; to taste black pepper","Add cornmeal with water and broth powder into a pot and place it on a stove on high heat. As soon it starts to boil, reduce the heat to low, close the lid and let it simmer for 15 minutes. | Dice onion and carrot. | Cut chicken thigh into bite-size cubes, add oil on top and add a pinch of salt, black pepper, cayenne pepper and smoked paprika. Mix everything with your hands until the entire chicken turns red. | Heat a pan (24cm/9.5 inch) to medium, add in oil and then onion and carrot. Fry this for 3-5 minutes under occasional stirring. | Switch up the heat to medium-high and add in chicken thighs. Spread it with a spatula, so as much meat as possible comes in contact with the pan. Let it fry for 90 seconds and then flip it and fry again for 2 more minutes until the chicken is done. | As soon as the grits are done, add in the Laughing Cow wedge. Cut the American cheese slice into smaller pieces and add it in as well. | Stir the grits until the cheese is melted and the grits are creamy. | Add the grits to a plate, top it with the chicken and optional parsley. Done!"
Lahmacun,1,dinner,498,65,37,9,100 g ground beef 95/5; 60 g tomatoes; 60 g bell peppers; 2 cloves of garlic; 25 g medium onion; 10 g tomato puree; 1 g paprika; 1 g cumin; 1 g cayenne pepper; bunch parsley; to taste salt and black pepper; 1 serving 2-ingredient dough,"Start by preparing 1 serving of 2-ingredient dough (see recipe). | Prepare a blender or food processor. | Chop up the onion, pepper, and garlic, and blend them for 30 seconds. | Add the tomatoes and parsley into the food processor and mix again for 30 seconds. | Add the beef, tomato puree, and all the seasonings. Mix for 45-60 seconds until it turns into a paste. | Add oil into a non-stick pan (24cm/9.5inch). Don’t turn on the stove yet. Add in the dough ball and press it down and press the edges slowly until it turns into a flat, round bread. | Add the ground beef filling on top of the dough. Spread it around with a spoon. Turn on the heat to medium and let it cook with a closed lid for 5-7 minutes. | As soon as the bottom has some color, you can either put the pan for 2 minutes under the broiler in the oven or flip the lahmacun and let it fry for another 2 minutes. | Remove the lahmacun and optionally add fresh vegetables with a bit of lemon and roll it into a burrito shape. Done!"
Pudding Oats Vanilla Blueberry,1,breakfast,367,58,20,4,50 g oats; 15 g vanilla pudding powder; 100 g skyr or 0.2% fat Greek yogurt; 15 g sweetener; 100 g skimmed milk; 250 g water; 50 g blueberries; Pinch Pinch salt,"1. In a pot, add the oats, water, sweetener and a pinch of salt. On medium heat, start to gently heat the oats on a stove. | 2. Stir occasionally for 2 minutes until the oatmeal becomes thick. | 3. Mix the pudding powder and milk in a glass and stir well to prevent any lumps. | 4. Add the pudding and milk to the pot of oatmeal and keep stirring for about 1 minute, or until the oatmeal becomes thick once again. | 5. Remove from the heat and transfer everything to a bowl. | 6. Mix in Skyr and top with blueberries. Eat right away or refrigerate overnight for overnight oats."
Mocha Style Banana Bread,6,breakfast,1456,176,109,40,120 g oats; 30 g sweetener; 60 g whey vanilla protein powder; 40 g cocoa powder; 30 g chopped walnuts; 1 egg; 100 g egg whites; 100 g skyr or 0.2% fat greek yogurt; 2 medium bananas or 250 g medium bananas or 250 g; 100 g liquid coffee; a pinch pinch salt; 1 tsp or 3 g baking powder; 1 tsp or 1.5 g baking soda,"Start by grinding the oats in a blender for 60 seconds until it becomes oat flour. | Place a bowl on a scale. | Add all dry ingredients. Whisk everything for 10-15 secs. | Smash the banana with a fork until it becomes mush. Add the coffee to the banana and mix well. | Place a second bowl on a scale. | Add all wet ingredients and banana into the second bowl and mix until combined. | Add the wet ingredients to the dry ingredients and slowly whisk until smooth. | Place parchment paper into a baking sheet (8x22cm or 3x9 inch). Transfer the batter to the baking sheet and bake for 35-45 min at 180°C or 350°F. | After baking, remove cake from the baking sheet and allow it to cool down for 30 min. | Slice and enjoy. The banana bread lasts in the fridge for 2-3 days."
Chicken Stew,1,dinner,634,80,47,16,"180 g skinless, boneless chicken thighs; 250 g potatoes; 50 g medium onion; 150 g red bell pepper; 100 g carrots; 2 garlic cloves; 100 g tomatoes; 20 g soy sauce; 300 g vegetables or chicken stock; 2 g oil; to taste black pepper","1. Clean the potatoes under cold water and then cut them into bite-sized pieces. Chop up the onion, red bell pepper, tomatoes, garlic cloves, and carrots. | 2. In a pan over medium heat, add oil and fry the chicken thighs on both sides for 2 minutes each. | 3. Then add the onions, bell pepper, and carrots, continuing to fry for another 3 minutes. | 4. Now add the tomatoes and chopped garlic along with black pepper, stirring for 20-30 seconds. | 5. Add the potatoes, stock, and soy sauce, giving everything a good stir. | 6. Bring the mixture to a boil, then close the lid and let it simmer for 15 minutes. | 7. After that, remove the lid and allow it to simmer uncovered for another 10 minutes, or until the potatoes are cooked through."
PB & CHOC OVERNIGHT OATS,1,breakfast,441,45,42,5,50 g oats; 10 g cocoa powder; 13 g powdered peanuts; 15 g casein vanilla protein powder; 150 g skyr or 0.2% fat greek yogurt; 100 g water; 20 g walnuts; 1 medium or 125 g banana,"Start by placing a bowl on a scale. | Add all ingredients except the toppings. | Mix until creamy and smooth for 30 seconds. Using casein is important but not mandatory, so don t worry if you haven t got it. You can also add whey but it won t be as creamy and thick even after refrigerating. | Cover the bowl and refrigerate overnight. | In the morning, peel and slice a banana. Roughly chop up the walnuts. Top with the oats. | You're done! Breakfast is served!"
Alfredo Chicken,1,dinner,636,56,64,16,180 g chicken breast; 250 g potatoes; 50 g medium onion; 1 clove of garlic; 1 g garlic powder; 1 g onion powder; 4 g oil; 100 g cottage cheese; 15 g parmesan cheese; 50 g evaporated milk; to taste salt; to taste black pepper,"Peel and cut the potatoes into thick slices, then into fries, and then again into bite-size cubes (2x2cm or 1x1 inch). | Place the potatoes in a pot filled with water, add salt, and bring it to a boil. Allow the potatoes to simmer for 10-12 minutes until they are soft. | Dice the onion and peel and grate the garlic. Slice the chicken breast into thin slices. | In a blender, combine cottage cheese, evaporated milk, garlic powder, onion powder, and some black pepper. Blend on high for 30 seconds. | Add 2g of oil to a pan (18cm/7inch) over medium heat. Add the onions with a pinch of salt and sauté them for 2-3 minutes. | Push the onions aside, add a bit more oil, and then add the chicken breast. Season with some salt and pepper, and cook the chicken breast for 1-2 minutes on each side. | Remove the pan from the heat and immediately pour in the blended sauce. Grate the parmesan cheese on top and mix everything for 30 seconds. | Plate the boiled potatoes and place the chicken alfredo on top."
Teriyaki Wrap,1,lunch,495,65,43,7,120 g chicken breast; 50 g medium onion; 75 g bell pepper; 20 g 0.2% fat cream cheese; 20 g soy sauce; 10 g rice vinegar; 10 g honey; 2 g cornstarch; 4 g oil; 1 piece Pita bread or 2-ingredient dough,"Start by making 1 serving of two-ingredient dough naan bread or prepare a store-bought pita. | Cut the chicken breast into bite-size pieces. Optionally, marinate the chicken. | Chop up the onion and bell pepper into small bite-size pieces. Mix in soy sauce, honey, cornstarch, and rice vinegar. | Add oil to a pan on medium heat and fry the onion and bell pepper for 3 minutes, stirring occasionally. Add a pinch of salt. | Push the vegetables to the side of the pan, add a bit of oil, and fry the chicken for 2 minutes, stirring occasionally. | Add the sauce, mix everything, and let it simmer for 30 seconds until the sauce is thick. | Spread cream cheese on the naan bread, add the teriyaki chicken on top, and fold the wrap."
Egg White Pizza,1,lunch,445,39,41,16,70 g egg whites; 70 g skyr; 30 g flour; 50 g shredded mozzarella; 50 g deli meat; 60 g storebought tomato sauce; 1 g oregano; 1 g garlic powder; 1 g onion powder; 2 g oil; to taste Salt and black pepper,"Place a bowl on a scale and add flour, garlic powder, onion powder, and salt. Mix them together. | Add skyr and egg whites to the bowl and mix until smooth. | Add oil to a pan (25cm/10 inches) on medium heat and pour in the batter. Tilt and shake the pan until a round pizza shape is achieved. | Close the lid and cook for 3 minutes. Flip the pizza dough every minute until both sides are browned, for a total of 5 minutes. | Spread tomato sauce on top, add deli meat, then cheese. | Put the pizza under the broiler for 1 minute until cheese is melted."
Pasta Salad,1,lunch,623,72,50,16,70 g dry pasta (red lentil or chickpea); 75 g frozen edamame; 50 g onion; 100 g cucumber; 100 g tomato; 100 g deli meat; 20 g light mayo; 50 g skyr or 0.2% fat greek yogurt; to taste lime juice; 5 g olive oil; 1 g garlic powder; to taste salt,"Cook the pasta in salted water for 3 minutes longer than the package instructions, then drain it as soon as it is done. | Chop up all vegetables and deli meat into bite-sized pieces. | In a small bowl (or glass), combine the light mayo, skyr, lime juice, olive oil, garlic powder, and salt; mix well. | Place a bowl on a scale and add the frozen edamame. Then add the drained pasta and stir it to defrost the edamame and cool down the pasta. | Add the vegetables, deli meat, and sauce, and give everything a good stir. Done!"
Blueberries and chocolate overnight oats,1,breakfast,419,50,36,5,50 g oats; 15 g casein vanilla protein powder; 150 g skyr or 0.2% fat greek yogurt; 50 g blueberry jam sugar free; 5 g cocoa powder; 50 g blueberries; 100 g water; Pinch Pinch salt,Place a bowl on your scale. | Add all ingredients to the bowl. | Mix everything until smooth. | Refrigerate overnight. | Done!
Banana Baked Oatmeal,1,breakfast,498,61,39,10,50 g oats; 125 g banana; 1 egg; 30 g whey vanilla protein powder; 100 g skimmed milk; pinch salt; 3 g baking powder,"Start by grinding the oats in a blender for around 60 seconds, or until it becomes oat flour. | Add to the blender egg, banana, baking powder, whey protein, milk, and a pinch salt. Blend again for 20-30 seconds, or until smooth. | You might need to shake the blender if the batter sticks to the top of the blender. | Transfer the batter to a baking dish (12x18cm or 5x7inch) lined with parchment paper and bake in the oven at 180°C (350°F) for 15 minutes. | Remove from the oven. Done!"
Apple Pie Overnight Oats,1,breakfast,458,58,39,6,50 g oats; 15 g casein vanilla protein powder; 150 g skyr or 0.2% fat greek yogurt; 150 g unsweetened applesauce; 13 g powdered peanuts; 50 g water; 2 g cinnamon; pinch salt,Place a bowl on your scale. | Add all ingredients to the bowl. | Mix everything until smooth. | Refrigerate overnight. | Done! Now wasn t that easy as pie!
Buffalo Mac n Cheese,1,dinner,619,50,54,21,60 g dry pasta; 180 g chicken breast; 1 g garlic powder; 1 g onion powder; 1 g cayenne pepper; 1 g smoked paprika; 4 g oil; 1 serving 3 ingredient cheese sauce; to taste salt; to taste black pepper,"Add pasta to a pot filled with water and a small pinch of salt. Bring to a boil, then reduce heat to medium-high and simmer until al dente, about 12 minutes. | While pasta cooks, cut chicken into thin strips. In a bowl, add oil, onion powder, garlic powder, cayenne pepper, smoked paprika, black pepper, and mix evenly with chicken. | Mix the 3-ingredient cheese sauce in a small bowl. | Fry the chicken in a pan on medium-high heat for 60-90 seconds on each side until browned. | Turn off heat. Add cheese sauce to the chicken in the pan, mixing for about 30 seconds until creamy. | Once pasta is cooked, reserve some pasta water, then drain. Add pasta to the pan with chicken and sauce, mixing thoroughly. Adjust sauce thickness with reserved water or evaporated milk if needed."
Creamy Garlic Chicken,1,dinner,353,16,49,14,180 g chicken breast; 250 g mushrooms; 150 g water; 1 Laughing Cow wedge; 3 garlic cloves; 8 g vegetable broth powder; 2 g cornstarch; 4 g oil; to taste salt; to taste black pepper,"Slice the mushrooms into bitesize pieces. | Cut the chicken breast into strips. | Peel and grate the garlic cloves. | Add the water, broth, and starch into a small glass and mix until combined. | Start by adding the mushrooms to a dry pan on medium heat and add 50 g of water. Let it simmer without a lid until the water has evaporated and the mushrooms have collapsed. | Add oil and fry the mushrooms under occasional stirring until brown, around 4-5 minutes. | Push mushrooms to the side of the pan, add another touch of oil, and fry the chicken for 1-1:30 minutes on each side until they get color. | Add in grated garlic for 30 seconds. Add in the sauce and let it simmer for 2 minutes until it thickens. | Add in the cheese wedge and press it down with a spatula. Combine everything slowly for 1 minute until creamy."
The Greek way of making a burrito,1,lunch,558,54,44,19,"200 g skinless, boneless chicken thighs; 50 g medium onion; 50 g tomatoes; 50 g greek yogurt 0.2% fat; 1 lemon (juice); 1 clove of garlic; 4 g olive oil; 5 g chopped dill; 2 g garlic powder; 1 g oregano; 1 piece Pita bread or 2 ingredient dough; to taste Salt and black pepper","Preheat the oven to 200°C or 400°F. | Add oil on both sides of the chicken thigh. Add salt, pepper, garlic powder, and oregano and cover the entire thigh. | Add chicken to a baking sheet and bake in the oven for 20 minutes. Alternatively use air fryer. | Make 1 serving of two-ingredient dough naan bread or prepare a store-bought pita. | Peel and grate the garlic. Combine Greek yogurt, olive oil, lemon juice, salt, chopped dill, and grated garlic in a glass and mix until smooth. | Dice the tomatoes and onion. | If using store-bought pita, heat it up in a pan. | Lay the pita/naan on a plate. Spread yogurt sauce in the middle. Add tomatoes and onions on top. | Remove the chicken thigh from the oven and cut into small chunks. Lay them on top of the tomatoes and onions. Close the gyro."
Creamy Beef Bowl,1,dinner,693,68,67,22,180 g ground beef 95/5; 250 g potatoes; 150 g red bell pepper; 50 g medium onion; 1 g garlic powder; 1 g chili powder; 5 g oil; 100 g cottage cheese; 50 g tomato salsa; 50 g evaporated milk; 1 g oregano; to taste salt; to taste black pepper,"Peel and cut the potatoes into thick slices, then into fries and then again into bite-size cubes (2x2cm or 1x1 inch). | Microwave the potatoes in a bowl for 5 minutes at 600W. | Dice the onion and bell pepper. | Add oil to a pan over medium heat and fry the microwaved potatoes for 5 minutes with a pinch of salt. | Add more oil, then add the pepper and onion with a small pinch of salt. Fry for 3 minutes. | Add more oil and the ground beef, spreading it out in the pan. Fry for 1 minute. | Season with black pepper, garlic powder, and chili powder. Fry for another 1-2 minutes until cooked through. | In a blender, combine cottage cheese, tomato salsa, evaporated milk, salt, and oregano. Blend on high for 60 seconds. | Remove beef from heat, add the sauce to the pan, and heat through while mixing everything together."
"Chicken, rice and broccoli adobo",1,dinner,480,37,45,21,"200 g skinless, boneless chicken thighs; 50 g medium onion; 5 cloves garlic cloves; 200 g broccoli florets; 4 g ginger paste; 1 chili; 5 dry bay leaves; 30 g soy sauce; 30 g rice vinegar; 30 g water; 10 g honey; 5 g oil; to taste black pepper","Chop the onion, chili, and peel and grate the garlic. Cut the broccoli florets into bite-size pieces. | In a glass, mix vinegar, soy sauce, water, and honey. | In a pan over medium heat, add oil and fry the onion for 3 minutes, stirring occasionally. | Push the onions to the side of the pan, add more oil, and add the chicken thighs. Fry both sides for 1-2 minutes to get some color. Add black pepper. | As soon as the chicken has color, add all other ingredients, mix everything, and close the lid. Reduce heat to low and let it simmer for 15 minutes. | After 15 minutes, flip the chicken and give the vegetables a stir. Close the lid again and let it simmer for 10 more minutes. | After 25 minutes, check the sauce for seasoning and thickness. If it's too thin, add a starch slurry. Done!"
Pudding Oats Chocolate,1,dinner,437,63,24,7,50 g oats; 15 g chocolate pudding powder; 100 g skyr or 0.2% fat Greek yogurt; 100 g skimmed milk; 250 g water; 10 g cocoa powder; 13 g powdered peanuts; Pinch salt,"In a pot, add the oats, water, sweetener and a pinch of salt. On medium heat, start to gently heat the oats on a stove. | Stir occasionally for 2 minutes until the oatmeal becomes thick. | Mix the pudding powder, cocoa, peanut powder and milk in a glass and stir well to prevent any lumps. | Add the pudding and milk to the pot of oatmeal and keep stirring for about 1 minute, or until the oatmeal becomes thick once again. | Remove from the heat and transfer everything to a bowl. | Mix in skyr. Eat right away or refrigerate overnight for overnight oats."
Affogato Ice Cream,1,dinner,335,19,48,7,350 g milk 1.5%; 45 g whey vanilla protein powder; pinch salt; 50 g liquid coffee,"Start by placing the pint on a scale. | Add milk, protein powder, and a pinch of salt. Close the lid and give it a shake. Put in the freezer for at least 24 hours. | Place the pint in a Ninja creami and press the Ice Cream Button. Repeat one more time. | Make fresh coffee, espresso or regular coffee. | Scoop out ice cream and place in a bowl and pour coffee over the ice cream, done!"
Orange Chicken,1,dinner,591,84,48,9,180 g chicken breast; 50 g raw rice; 50 g medium onion; 150 g pak choi; 1 clove of garlic; 4 g ginger paste; 75 g orange (juice); 20 g soy sauce; 10 g rice vinegar; 10 g gochujang; 4 g cornstarch; 10 g honey; 4 g oil; to taste black pepper,"Add rice with water in a pot (18cm or 7inch diameter) with a pinch of salt. Place it on a stove on high heat. As soon the water starts to boil, reduce the heat to low, close the lid and let it simmer for 12-15 minutes. | Chop the onion, pak choi, and peel and grate the garlic. Cut the chicken breast into bite-size cubes. | In a glass combine soy, rice vinegar, gochujang, honey, orange juice, and cornstarch and mix until combined. | Preheat a pan (24cm/9.5inch) over medium-high heat and add oil to it. Start by frying the chicken on one side for 1 minute. Flip the chicken and fry for another minute before removing it from the pan. | Add a touch of oil to the pan and add in the onion and pak choi. Add a small pinch of salt and fry the vegetables for 3 minutes, stirring occasionally. | Add grated ginger and garlic and keep frying for 20 seconds. Then add the sauce, close the lid and let it simmer for 30-60 seconds until thick. | Add back the chicken to the pan and mix everything. Plate the rice and add the orange chicken on top."
Spicy Mac n Cheese,1,lunch,584,85,30,14,100 g dry pasta; 60 g fresh mozzarella light; 1 slice american cheese; 15 g gochujang; 50 g evaporated milk; to taste salt; to taste black pepper,"Cut the american cheese and mozzarella into small pieces. | Add evaporated milk and gochujang to a glass and mix until smooth. | Add the pasta to a cold pan and cover with cold water until the pasta is covered (about 500 g). | Add a small pinch of salt. | Switch the heat to high and stir the pasta every 20 seconds for the first 2 minutes. | Once the water is boiling, turn the heat to medium-high and cook pasta al dente. | Remove most of the pasta water into a separate glass, but keep it for later. | Add the cheese and gochujang to the pan and turn the heat to low. Melt everything into a thick cheese sauce, adding pasta water if too thick. Cook for 2 more minutes until fully melted."
Stuffed Crust Pizza,1,lunch,685,69,41,27,80 g flour; 80 g skyr or 0.2% fat greek yogurt; 20 g shredded mozzarella; 4 sticks cheese sticks; 60 g storebought tomato sauce; 1 g oregano; 1 g baking powder; 2 g oil; to taste salt; to taste black pepper,"Start by combining flour, baking powder, and salt in a bowl. Then add skyr and mix everything with your hands until you form a dough ball. Knead the dough for 2 minutes and set aside. | Cut 3 cheese sticks into 2 cm or 1-inch pieces. Finely chop the 4th cheese stick. | Take a baking sheet, spray some oil on it, and spread the oil with your hands. Place the dough ball on the sheet and press it down to form a round pizza shape. | Lay the larger cheese stick pieces around the edges, leaving space between them. Roll the edges of the dough towards the center over the cheese sticks to form a stuffed crust. | Add tomato sauce to the middle of the dough, season with salt, black pepper, and oregano. Add the finely chopped cheese stick and shredded mozzarella on top. | Bake in the oven at 220°C (420°F) for 15-20 minutes."
Steak Bowl,1,lunch,748,81,53,25,180 g top sirloin; 60 g raw rice; 125 g water; 100 g cucumber; 60 g avocado; 70 g frozen peas; 1/2 lime lime juice; 4 g oil; bunch fresh cilantro; 1 g smoked paprika; 1 g garlic powder; 0.5 g cayenne pepper; to taste Salt and black pepper,"Add the rice with a pinch of salt to a pot (18cm or 7inch diameter). Pour in the water and close the lid. | Place it on a stove on high heat until it starts boiling. Turn down the heat to low and let it simmer for 12-15 minutes. | Mix all sauce ingredients in a small glass until smooth. | Slice the steak into bite-sized cubes and add them to a bowl. Then add oil, garlic powder, smoked paprika, cayenne pepper, black pepper, and a pinch of salt. | Peel the avocado and slice it, and peel the cucumber and cut it into smaller pieces as well. | Heat a pan over medium heat and fry the beef for 2-3 minutes, stirring occasionally, until it has browned but is still pink inside. Add the frozen peas and keep stirring for 30 seconds, then remove the pan from the heat. | In a bowl, mix the cooked rice with chopped cilantro and lime juice. Top with the beef, avocado, cucumber, and drizzle the sauce on top."
